t,ins_ref,ins_vel_ref,tws_ref,tws_vel_ref,xm,xm_dot,pm,mode_impedance,xr,dx,xc,x_ref,v_cmd,x_cmd,dF,ke_hat,be_hat,xe_hat,hysteresis_current,dfdt_abs,f_safe,tws_meas,tws_meas_vel
2.744053363800049,13.559179079595289,-96.74521411795611,-5.867798792300879,20.621114238561496,10.706104817513067,-100.0,0.4988546744518294,0,13.559179079595289,0.0,13.559179079595289,13.559179079595289,-93.89213985587389,9.760177612010127,4.501145325548171,0.001,5000.0,-inf,0.2254449896854626,13.991054524801234,5.0,-2.7184438705444336,-1.7234238924649754
2.7542002201080322,13.559179079595289,-96.74521411795611,-5.867798792300879,20.621114238561496,9.760177612010127,-93.89213985587389,0.42750346712267906,0,13.559179079595289,0.0,13.559179079595289,13.559179079595289,-92.94621265037095,8.817065747875544,4.572496532877321,0.001,5000.0,-inf,0.20790049071691633,7.0318535281722925,5.0,-2.7184438705444336,0.0
2.7642791271209717,13.559179079595289,-96.74521411795611,-5.867798792300879,20.621114238561496,8.817065747875544,-92.94621265037095,0.30492707819886666,0,13.559179079595289,0.0,13.559179079595289,13.559179079595289,-92.00310078623636,7.889775050148971,4.695072921801133,0.001,5000.0,-inf,0.1921104416452247,12.161674749697262,5.0,-2.7184438705444336,0.0
2.774353504180908,11.090789905112798,-81.89118209931988,-1.1288672170923588,157.218607419545,7.889775050148971,-92.00310078623636,0.1845374991584926,0,11.090789905112798,0.0,11.090789905112798,11.090789905112798,-78.69016724435605,7.097020634419862,4.815462500841507,0.001,5000.0,-inf,0.17789939748070224,11.950076746594654,5.0,-2.7184438705444336,0.0
2.7846715450286865,10.355346194928032,-71.459089012505,0.3189932124842769,140.68076982915193,7.097020634419862,-78.69016724435605,0.2066812163752203,0,10.355346194928032,0.0,10.355346194928032,10.355346194928032,-68.20076345199683,6.393322371272492,4.7933187836247795,0.001,5000.0,-inf,0.25706792760981323,2.1461164520874796,5.0,-2.7333931922912598,-1.4488527393303603
2.7947661876678467,9.688546425129234,-66.78832099501325,1.631715026231168,131.4854771172738,6.393322371272492,-68.20076345199683,0.2130574974581806,0,9.688546425129234,0.0,9.688546425129234,9.688546425129234,-63.49309694115651,5.752382247597964,4.7869425025418195,0.001,5000.0,-inf,0.37711907910196385,0.6316500059372856,5.0,-2.7333931922912598,0.0
2.8048455715179443,9.688546425129234,-66.78832099501325,1.631715026231168,131.4854771172738,5.752382247597964,-63.49309694115651,0.17040254525214993,0,9.688546425129234,0.0,9.688546425129234,9.688546425129234,-62.85215681748198,5.118871233228031,4.82959745474785,0.001,5000.0,-inf,0.3691570354943575,4.231900763023068,5.0,-2.7333931922912598,0.0
2.814918279647827,8.47006613805935,-60.43775194212885,4.168605205548876,125.83210494995305,5.118871233228031,-62.85215681748198,0.08812040447710456,0,8.47006613805935,0.0,8.47006613805935,8.47006613805935,-57.08655703729753,4.543855006051425,4.911879595522896,0.001,5000.0,-inf,0.3372413319449218,8.16882011411986,5.0,-2.7333931922912598,0.0
2.8250937461853027,8.47006613805935,-60.43775194212885,4.168605205548876,125.83210494995305,4.543855006051425,-57.08655703729753,0.06527413047422415,0,8.47006613805935,0.0,8.47006613805935,8.47006613805935,-56.51154081012092,3.9688237135568536,4.934725869525776,0.001,5000.0,-inf,0.397281974176649,2.245231107462156,5.0,-2.7333931922912598,0.0
2.8351597785949707,7.407300095780242,-52.84541810050189,6.283185307179586,105.14625527367896,3.9688237135568536,-56.51154081012092,-0.009480088203249637,0,7.407300095780242,0.0,7.407300095780242,7.407300095780242,-49.4069417182785,3.471491836958086,5.00948008820325,0.001,5000.0,-inf,0.36255377675898415,7.426383666883065,5.0,-2.5103797912597656,22.155045002368546
